time;Азимут:;Наклон:;Крен:
1509976317.443;34.782;-53.069;130.796
1509976317.456;43.557;-52.711;133.148
1509976317.475;51.946;-51.599;134.609
1509976317.493;52.195;-51.599;134.609
1509976317.496;54.582;-51.712;135.660
1509976317.516;40.113;-53.315;132.788
1509976317.53;41.107;-53.315;132.788
1509976317.535;23.200;-54.332;128.072
1509976317.556;4.839;-54.136;123.135
1509976317.576;2.762;-53.576;122.578
1509976317.597;22.763;-53.078;127.251
1509976317.608;24.251;-53.078;127.251
1509976317.619;33.421;-54.127;130.499
1509976317.639;32.900;-54.976;131.046
1509976317.658;20.803;-54.371;127.098
1509976317.677;9.877;-53.590;124.125
1509976317.684;10.687;-53.590;124.125
1509976317.698;30.327;-53.458;128.713
1509976317.718;46.788;-52.826;132.914
1509976317.737;49.926;-52.075;132.957
1509976317.758;49.665;-51.947;132.688
1509976317.762;52.039;-51.947;132.688
1509976317.779;46.602;-53.468;133.349
1509976317.798;35.137;-55.409;132.170
1509976317.799;30.220;-55.409;132.170
1509976317.819;30.570;-55.403;132.277
1509976317.839;46.405;-52.717;134.729
1509976317.858;56.602;-53.556;139.992
1509976317.879;48.402;-58.013;142.146
1509976317.88;38.448;-58.013;142.146
1509976317.9;39.543;-66.512;150.300
1509976317.919;39.424;-76.282;157.954
1509976317.937;-22.050;-67.841;115.074
1509976317.954;-30.928;-67.841;115.074
1509976317.961;-61.972;-49.764;114.727
1509976317.98;-107.878;-38.953;131.498
1509976317.993;-69.156;-38.953;131.498
1509976317.997;-3.651;-36.657;151.406
1509976318.02;69.596;-34.351;162.610
1509976318.038;91.016;-30.500;158.492
1509976318.059;119.809;-28.505;155.889
1509976318.069;-37.830;-28.505;155.889
1509976318.079;-54.294;-23.566;156.146
1509976318.099;-59.426;-19.982;160.391
1509976318.119;49.651;-20.211;167.651
1509976318.137;67.630;-19.568;169.286
1509976318.146;27.694;-19.568;169.286
1509976318.158;14.204;-16.747;166.715
1509976318.179;174.851;-11.552;165.838
1509976318.198;110.351;-6.425;-175.139
1509976318.219;108.923;-6.766;-174.435
1509976318.225;92.505;-6.766;-174.435
1509976318.239;108.362;-2.712;-179.033
1509976318.258;119.530;-0.387;179.159
1509976318.26;104.827;-0.387;179.159
1509976318.278;99.755;-1.236;-179.777
1509976318.298;115.143;0.619;176.496
1509976318.319;116.258;1.076;177.015
1509976318.343;113.551;3.199;-177.059
1509976318.344;98.497;3.199;-177.059
1509976318.36;97.343;3.119;-175.545
1509976318.379;92.797;1.867;-174.943
1509976318.399;102.868;5.018;-174.380
1509976318.417;88.638;5.018;-174.380
1509976318.421;77.642;3.219;179.264
1509976318.441;22.006;1.595;171.420
1509976318.459;70.062;1.512;-179.721
1509976318.479;81.873;2.887;-172.595
1509976318.493;85.064;2.887;-172.595
1509976318.499;74.292;0.499;-174.837
1509976318.519;51.897;-3.621;-177.941
1509976318.531;50.733;-3.621;-177.941
1509976318.541;40.302;-8.970;-175.327
1509976318.56;63.942;-8.136;-165.271
1509976318.58;64.669;-8.098;-164.761
1509976318.6;48.915;-6.992;-174.527
1509976318.608;42.235;-6.992;-174.527
1509976318.62;114.665;3.318;-174.415
1509976318.641;112.620;5.002;-169.825
1509976318.66;115.500;5.222;-170.770
1509976318.68;162.231;9.483;-178.115
1509976318.685;179.870;9.483;-178.115
1509976318.7;-170.835;15.043;-179.884
1509976318.721;-176.812;17.913;-178.890
1509976318.741;-151.185;15.157;175.851
1509976318.762;-134.926;13.860;172.265
1509976318.764;-121.480;13.860;172.265
1509976318.782;-122.227;13.147;173.655
1509976318.802;-108.673;9.082;175.441
1509976318.803;-91.149;9.082;175.441
1509976318.822;-71.474;3.974;176.385
1509976318.841;-55.992;-0.476;176.995
1509976318.86;-43.124;-5.262;177.594
1509976318.878;-36.948;-5.262;177.594
1509976318.88;-33.053;-6.123;178.755
1509976318.901;-31.866;-5.521;179.626
1509976318.921;-24.608;-4.743;-177.245
1509976318.943;-23.503;-5.046;-176.997
1509976318.956;-23.358;-5.046;-176.997
1509976318.962;-25.567;-5.896;-178.272
1509976318.983;-26.327;-6.437;-178.853
1509976319.001;-22.721;-4.878;-176.680
1509976319.022;-19.994;-2.835;-174.922
1509976319.031;-19.434;-2.835;-174.922
1509976319.042;-27.569;-1.866;-177.358
1509976319.062;-38.419;0.415;179.970
1509976319.071;-42.658;0.415;179.970
1509976319.081;-36.892;3.440;-175.695
1509976319.101;-35.754;3.631;-175.285
1509976319.123;-46.526;3.308;-178.544
1509976319.142;-39.319;2.469;-177.109
1509976319.146;-40.082;2.469;-177.109
1509976319.161;-36.333;1.005;-177.222
1509976319.182;-27.178;0.037;-175.366
1509976319.202;-13.949;-0.062;-172.338
1509976319.223;-16.295;0.680;-172.631
1509976319.224;-10.638;0.680;-172.631
1509976319.243;-19.484;-0.128;-174.765
1509976319.263;-24.561;-1.409;-176.583
1509976319.283;-26.172;-2.651;-177.644
1509976319.303;-26.485;-2.084;-177.463
1509976319.305;-21.092;-2.084;-177.463
1509976319.322;-21.802;-3.940;-178.384
1509976319.338;-15.416;-3.940;-178.384
1509976319.341;-20.427;-1.377;-178.631
1509976319.362;-32.441;0.204;179.787
1509976319.382;-25.893;-1.434;-179.768
1509976319.409;-8.625;-0.839;-176.385
1509976319.419;-1.302;-0.839;-176.385
1509976319.422;-1.353;0.534;-176.364
1509976319.442;-20.737;2.928;-179.197
1509976319.463;-29.040;3.115;179.464
1509976319.482;-36.176;4.343;178.965
1509976319.492;-25.416;4.343;178.965
1509976319.502;-17.832;4.429;-179.939
1509976319.524;-4.516;0.296;-178.604
1509976319.542;-5.552;-6.818;-179.487
1509976319.563;-6.340;-8.098;-179.875
1509976319.569;9.755;-8.098;-179.875
1509976319.586;7.795;-7.116;179.387
1509976319.602;8.459;-5.146;179.295
1509976319.607;32.638;-5.146;179.295
1509976319.624;33.713;-4.988;179.548
1509976319.644;26.706;-9.358;179.511
1509976319.663;25.946;-12.167;-179.487
1509976319.684;27.503;-10.079;-179.830
1509976319.685;37.447;-10.079;-179.830
1509976319.705;48.689;-5.121;-178.681
1509976319.724;54.533;-2.922;-178.249
1509976319.744;50.995;-2.738;179.712
1509976319.763;44.931;-3.762;178.210
1509976319.764;53.760;-3.762;178.210
1509976319.787;59.147;-1.919;179.005
1509976319.805;66.800;-0.046;-178.284
