time;distance;angle;left_speed;right_speed
1509976324.2497706;13.8;-1;245;155
1509976324.348206;13.8;0;240;160
1509976324.4027894;13.8;0;105;295
1509976324.4541385;13.8;1;120;280
1509976324.5053692;13.8;0;120;280
1509976324.5521472;14.3;-2;120;280
1509976324.604929;14.100000000000001;-4;255;145
1509976324.654689;13.9;-5;195;205
1509976324.6947675;14.3;-5;200;200
1509976324.7440464;13.9;-5;200;200
1509976324.8092413;14.3;-4;200;200
1509976324.8679261;13.9;-4;200;200
1509976324.9027967;13.9;-5;200;200
1509976324.9608521;13.9;-5;200;200
1509976325.0058537;13.9;-5;200;200
1509976325.0522428;14.3;-5;245;155
1509976325.104331;14.3;-5;240;160
1509976325.179854;14.3;-4;285;115
1509976325.2298036;14.3;-3;280;120
1509976325.268097;13.8;-2;280;120
1509976325.332952;13.8;0;325;75
1509976325.3880916;13.8;2;320;80
1509976325.4409552;13.8;4;365;35
1509976325.5045037;13.8;9;315;85
1509976325.5679061;14.5;13;320;80
1509976325.6208334;14.5;16;320;80
1509976325.6713634;14.9;19;365;35
1509976325.733308;15.4;22;360;40
1509976325.7886226;16.400000000000002;27;315;85
1509976325.842926;16.6;31;275;125
1509976325.8912044;133.20000000000002;35;235;165
1509976325.9476967;130.5;36;240;160
1509976325.9927049;255.0;37;195;205
1509976326.047889;255.0;38;245;155
1509976326.1047738;20.3;38;240;160
1509976326.1518853;32.6;39;240;160
1509976326.208343;32.6;40;285;115
1509976326.2581084;255.0;41;280;120
1509976326.308049;32.6;42;280;120
1509976326.366126;32.6;43;280;120
1509976326.4157321;255.0;45;280;120
1509976326.4661887;255.0;47;280;120
1509976326.5083375;255.0;48;235;165
1509976326.565348;255.0;50;240;160
1509976326.6137536;255.0;51;240;160
1509976326.6653383;255.0;51;240;160
1509976326.7274761;255.0;52;240;160
1509976326.7802868;255.0;53;285;115
1509976326.8343875;255.0;54;280;120
1509976326.8799224;255.0;56;235;165
1509976326.9459262;255.0;57;240;160
1509976327.005648;255.0;58;240;160
1509976327.0577834;255.0;59;240;160
1509976327.1108007;255.0;59;240;160
1509976327.1643481;255.0;60;240;160
1509976327.2153056;255.0;61;240;160
1509976327.2624586;255.0;62;285;115
1509976327.306139;255.0;62;235;165
1509976327.3585644;255.0;64;240;160
1509976327.4085565;255.0;64;240;160
1509976327.454382;255.0;65;240;160
1509976327.504449;255.0;66;240;160
1509976327.5637522;255.0;67;240;160
1509976327.6133308;255.0;68;240;160
1509976327.6658564;255.0;69;240;160
1509976327.7038941;255.0;69;240;160
1509976327.7657175;255.0;69;240;160
1509976327.803982;255.0;70;240;160
1509976327.848431;255.0;71;240;160
1509976327.892898;255.0;72;240;160
1509976327.9444919;255.0;73;195;205
1509976328.003256;255.0;73;200;200
1509976328.0560975;255.0;73;200;200
1509976328.104713;255.0;73;200;200
1509976328.1643486;255.0;73;200;200
1509976328.2042835;255.0;73;200;200
1509976328.2499778;255.0;74;245;155
1509976328.292498;255.0;73;240;160
1509976328.351854;255.0;74;105;295
1509976328.405998;255.0;74;75;325
1509976328.483833;255.0;72;35;365
1509976328.543779;255.0;69;40;360
1509976328.6021976;255.0;65;85;315
1509976328.6511981;255.0;62;80;320
1509976328.703343;255.0;59;125;275
1509976328.753796;255.0;56;165;235
1509976328.8103757;255.0;54;160;240
1509976328.875686;255.0;53;205;195
1509976328.9452074;255.0;52;155;245
1509976328.9924345;255.0;52;115;285
1509976329.0321467;255.0;51;120;280
1509976329.0881283;255.0;50;120;280
1509976329.1456861;255.0;48;75;325
1509976329.1947527;255.0;46;80;320
1509976329.254247;255.0;43;80;320
1509976329.3076723;255.0;40;80;320
1509976329.372944;255.0;38;80;320
1509976329.4056945;49.0;36;125;275
1509976329.4603167;48.300000000000004;33;120;280
1509976329.5156035;48.800000000000004;31;120;280
1509976329.5900636;47.900000000000006;29;165;235
1509976329.6617432;48.800000000000004;27;160;240
1509976329.7149334;48.300000000000004;26;160;240
1509976329.7926333;48.800000000000004;25;160;240
1509976329.8443575;48.6;24;115;285
1509976329.8943126;49.800000000000004;23;165;235
1509976329.975345;49.6;21;115;285
1509976330.04273;49.2;20;120;280
1509976330.1046126;49.1;18;120;280
1509976330.173772;50.0;15;120;280
1509976330.2427151;50.0;12;120;280
1509976330.3086667;50.0;11;120;280
1509976330.3860269;50.400000000000006;8;120;280
